[-3.64382991 -5.27327578 -5.32098104 -8.1256801 ],[-5.73678541 -4.6189802  -5.04769785 -7.31037377],[0. 0. 0. 0.],[0. 0. 0. 0.]
[-8.36666369 -3.0798104  -4.53638473 -7.66234361],[-3.51881122 -3.40273781 -4.41694434 -6.27727067],[0. 0. 0. 0.],[0. 0. 0. 0.]
[-5.88843851 -6.68079631 -4.11086889 -6.52888759],[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
[-0.30033729 -0.57482865  0.          0.        ],[ 1.18929121 -0.74202105 -1.09252892 -1.6760528 ],[-0.36332516  3.51096917  1.75698785  0.57255261],[0. 0. 0. 0.]
[-0.10129039 -3.1724069  -5.2214419  -8.13201658],[ 0.         -1.42641843 -0.2324433  -1.378366  ],[-1.1381571   1.41537638 -1.84728974 -3.8676875 ],[-1.16990424 -2.26980441 -1.3094315  -3.93260846]
[-3.50858471 -2.33900473 -3.58388584 -6.06049013],[ 0.         -0.87606093  0.          0.        ],[-3.91306158 -2.67965246 -3.72509725 -5.54552662],[-0.62375847  0.         -0.72924     0.        ]
[-0.6086     -1.10242234 -0.98827232 -3.32185514],[0. 0. 0. 0.],[-0.56571313 -1.2005486  -0.91194842 -1.07990413],[0. 0. 0. 0.]
[-1.83905924 -3.16972164 -3.56380698 -3.81862526],[ 2.30949068 -0.87028523 -2.38340497 -5.3880529 ],[-3.20929884  0.39010854 -3.20835567 -5.33780296],[-0.53363232  0.          0.          0.        ]
[-1.34503066 -3.09819377 -5.54189913 -8.73917525],[-0.84796651 -3.67688333 -6.68362987 -8.87398641],[-3.09359675 -3.1897009  -2.53972949 -5.39894473],[-0.75985934  0.          0.         -0.6       ]
[-5.50826947 -3.16316823 -5.39945032 -8.85625167],[-3.27636053 -3.34402265 -4.13602082 -4.82460907],[-0.3        -0.69750051 -1.44148201 -1.49298382],[0. 0. 0. 0.]
[-5.82326096 -5.45620003 -4.89574735 -8.05508035],[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
[-1.60082783 -1.24323386 -0.77680251 -3.17165168],[-2.22665714  1.77925947 -1.24684762 -5.00567322],[-2.59070357 -1.78702932 -4.1115765  -4.0777519 ],[0. 0. 0. 0.]
[-4.65624251 -5.82915664 -6.60853314 -8.93220339],[-3.5181869  -2.24845431 -4.71304574 -5.7595159 ],[-1.065245   -1.7525954  -0.75901487 -1.15796854],[0. 0. 0. 0.]
[-4.13622699 -4.21241411 -4.42262263 -5.09123135],[-0.4        -0.26634253 -0.92069489 -1.35412325],[ 0.    -0.536  0.     0.   ],[0. 0. 0. 0.]
[-1.355      -1.17953945 -1.78216243 -3.05264693],[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
[ 0.         -0.83131551  0.          0.        ],[-5.13086211 -5.68171077 -2.02998931 -6.32326685],[0. 0. 0. 0.],[0. 0. 0. 0.]
[-4.8990573  -4.66862196 -4.71441424 -7.68399839],[-1.21154168 -2.20170666 -1.95282487 -3.02713143],[0. 0. 0. 0.],[0. 0. 0. 0.]
[-1.81074232 -1.90369226 -1.59267703 -3.02171429],[-0.5         0.         -0.84800747 -0.64366012],[0. 0. 0. 0.],[0. 0. 0. 0.]
[-1.14       -1.02550172 -0.76012871 -1.00379463],[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
[0. 0. 0. 0.],[ 0.        -0.4380074  0.         0.       ],[-4.46999738 -3.01183048  1.13167907 -2.27451225],[0. 0. 0. 0.]
[-3.96153346 -4.10129556 -4.90158241 -5.98925991],[-0.2        -0.62669115  0.          0.        ],[-4.42249777 -4.0215394  -0.09847983 -4.81550517],[0. 0. 0. 0.]
[-1.87349829  0.         -0.3058376  -0.87223767],[0. 0. 0. 0.],[-1.92482859 -2.08297574 -3.06313615 -2.86087394],[0. 0. 0. 0.]
[-1.01403394 -0.49656861 -0.2        -0.77212934],[0. 0. 0. 0.],[-0.527  0.     0.     0.   ],[0. 0. 0. 0.]
[ 0.         -0.84257054 -0.69268273 -0.92003798],[-0.39624211 -4.29108766 -5.51746956 -6.46372   ],[-2.03115122 -2.30814366 -2.42892451 -2.35969408],[0. 0. 0. 0.]
[-4.96861232 -5.36620458 -5.92219866 -8.62044106],[-3.53519738 -3.64773602 -6.11518331 -6.93637421],[-1.2036     -0.554      -1.34486058 -0.98937017],[0. 0. 0. 0.]
[-5.60372514 -4.19575731 -5.92766385 -8.98391497],[-1.40018359 -1.29978462 -2.91069387 -2.36336824],[ 0.   0.  -0.4  0. ],[0. 0. 0. 0.]
[-3.4469112  -3.50785112 -3.50214277 -3.81423308],[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
[ 0.          0.          0.         -0.99654414],[-6.085489   -2.66840892 -5.65550286 -6.81589371],[-1.31640251 -1.33648378 -0.98089726 -1.02400455],[0. 0. 0. 0.]
[-4.49012914 -4.65815615 -5.06601883 -6.39253033],[-0.805      -1.20829425 -1.27655137 -1.53023891],[-0.6         0.          0.         -0.61707357],[0. 0. 0. 0.]
[-1.46890906 -1.17290268 -1.97726393 -2.64273821],[-0.5         0.         -0.81962385 -0.81962385],[0. 0. 0. 0.],[0. 0. 0. 0.]
[-1.14       -0.6        -0.619485   -0.92890121],[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
[0. 0. 0. 0.],[-4.80219678 -5.55959934 -4.03785456 -4.88630805],[0. 0. 0. 0.],[0. 0. 0. 0.]
[-3.47565472 -3.20720733 -2.64387577 -3.11752378],[ 0.   -1.33  0.    0.  ],[0. 0. 0. 0.],[0. 0. 0. 0.]
[ 0.         -0.80275212 -0.81387497 -0.99137221],[ 0.          0.         -0.81412325  0.        ],[0. 0. 0. 0.],[0. 0. 0. 0.]
[-0.7        -1.52       -0.4        -0.97835297],[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
