Lane 0,Lane 1,Lane 2,Lane 3
-12.2857147591013,-9.468108630731491,-12.223075171732381,-18.672512744062605
-8.775161444395819,-9.211221717308657,-9.74107845655524,-9.978679182368843
-7.665393115180823,-8.153411805327238,-9.644431684754341,-12.485556821739436
-8.9595838364391,-9.45662833323548,-10.310911172755985,-14.933022169997972
-14.677314162554314,-12.4003995303415,-9.697459740627991,-19.40316445154752
-5.898371959826024,-5.185120101376856,-7.2070304143098145,-8.899737773838114
-3.3390800000000005,-4.605756562729219,-8.99965956466627,-11.644035089360479
0.0,0.0,0.0,0.0
-9.161408917025508,-6.797260931352575,-8.132424261526694,-17.557208259984712
-13.399984355230549,-12.66378883749054,-10.13866849591389,-18.485184070309778
-14.71035115616447,-14.078268384735354,-11.239514615739896,-18.966800041829682
-11.866517302633518,-11.451592152432035,-11.531615701019783,-14.865718038055974
-12.23845056397921,-9.752989381989607,-12.628829724335748,-18.540303324873054
-12.918157493591934,-13.423209582412928,-14.086847555732147,-13.946240334633469
-4.77424316087399,-4.571659632143998,-4.825724256193748,-4.15307604871508
0.0,0.0,0.0,0.0
-13.92029712790665,-10.814339104215403,-14.58250337446784,-19.627756253130034
-9.270322699115392,-9.491843497001803,-12.423759747295277,-10.065183886852838
-0.9230709912676902,-0.7000000000000001,-3.368049002763076,-1.1
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-4.317248270619985,-2.2905984392527716,-8.710032224727344,-12.662079610059296
-5.608826409438444,-7.7438261827565515,-10.820874702950562,-16.763922311848074
-11.21503212837566,-8.559285083917938,-13.350028988351097,-17.210703601098846
-13.074546907279014,-10.146229232601867,-15.462579630843063,-18.803990403626194
-6.736820220886565,-9.06667585672208,-12.577547767420137,-15.925124122447325
-11.36001024444072,-12.693320727939096,-13.719709243182093,-18.681825997182514
-12.911922039896357,-10.458670650582121,-14.282201673879214,-18.968109485916553
-14.887723053110006,-13.902149663930045,-13.739319430238536,-20.42059864675079
-11.134545577779257,-10.330464988086506,-10.712004351126946,-13.425360821645308
-13.098952976028555,-8.719587115140266,-14.593426186337428,-21.039807957104628
-14.314638493611167,-14.569945509343093,-14.66219194183686,-18.74048423164571
-16.07733069607229,-13.713522905596603,-14.104212737423172,-15.561684107091365
-0.6224566343273815,0.0,0.0,-1.6131373062209464
-11.842459017508675,-9.872983038662253,-13.69148657308941,-19.784542849612418
-11.3367825453984,-10.615293512264989,-11.411217727461661,-15.114237088808148
-13.935690208700692,-13.905504959604102,-13.994554619048575,-14.281811758271662
-4.936456345148617,-10.534811979955675,-13.269333926742169,-17.662201441960644
-9.414288697603336,-10.596573674353195,-14.382370210244888,-19.604926874912167
-13.3188619204895,-14.82233928645407,-16.431318682619573,-19.959000501559498
-16.389326328784268,-16.506894651062396,-17.687520354416232,-20.71598064297614
-10.873989002074424,-11.207260442482715,-14.513372674617145,-19.2551983850561
-13.281543218661845,-13.527181898196057,-14.015072102682211,-14.364139728858646
-14.460310806145309,-14.550751485624472,-14.262320476766392,-14.672073252313917
-11.40185589086932,-11.120506617667784,-13.351325503549305,-16.75296163668838
-13.62514329219833,-10.666940911936676,-15.151434446804824,-20.491913427591662
-11.499148464650856,-11.541168401829669,-11.726567941818352,-12.473449120065657
-10.975936019556878,-11.458538769509056,-10.26752174048892,-10.233230905277793
-9.844343158183333,-9.591802336594114,-12.858931320074024,-15.467753534684903
-12.939881214909654,-12.938199004124773,-10.09032570483207,-18.359059988685978
0.0,0.0,0.0,0.0
-6.904049221070927,-5.140201741376954,-4.882644612027812,-6.2445833460114955
0.0,0.0,0.0,0.0
-10.833266722189306,-10.120203162174931,-13.087776872573034,-17.271332796894136
-13.214815974497393,-9.146941431785812,-13.092466785631782,-18.85859653293046
-16.76954464345958,-14.242534926138795,-15.559205004853663,-19.66812932622984
-18.371635827121192,-16.817739665295914,-15.288229209349478,-21.66223563322543
-13.009060127382929,-14.927968190651645,-16.968002757145737,-20.805288116934825
-13.94290135580978,-14.36308681986722,-13.967086202774087,-16.22473816168966
-8.714409847866712,-8.276638676862962,-8.868019754207602,-10.715512274977549
-9.552043109426384,-9.226307772682198,-9.901316152527633,-14.15413683718651
-15.644676904536286,-13.318796220106504,-15.40978433115503,-19.4508525091694
-5.297309025016215,-5.901522236394979,-6.95695214830742,-6.934993295686571
-4.225138788539543,-4.5851094790486275,-5.175626610492918,-7.462277959953614
-8.249114112217592,-8.08944534481731,-8.34991266655739,-10.701372747089714
-6.905329088252484,-6.664636147733667,-9.729606602327008,-5.784593861009401
-3.2760800000000003,-2.92057,-4.002710535336501,-8.717204285029455
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-14.009683338518169,-13.292530498534438,-10.386605669425977,-16.821445832378703
-14.539192388804963,-12.493074726940762,-10.367034395877983,-18.570006577895505
-10.885804670858864,-11.720835056818018,-11.036072839833194,-17.94589437579422
0.0,0.0,0.0,0.0
-10.549637222014479,-10.580367151048625,-10.45725163380219,-15.64505387954975
-2.6445238255007393,-3.4965522351771723,-2.8271938497842073,-3.2226488808796403
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-6.705937168379815,-7.912716605871058,-7.6391600224632255,-14.072131192707152
-0.8,0.0,-3.297621887267128,-2.911810120592195
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-7.290502746729912,-6.477740051658476,-5.579167419408242,-12.785505120303064
-10.132465497194966,-8.827709327030469,-7.736878688888068,-16.739438076442497
-14.706078828506321,-12.774274361239062,-8.897400663274192,-17.303821667134656
-18.414300267714648,-14.699192327621372,-12.213932444731398,-19.39506364461075
-9.167976573654435,-8.693024806556204,-8.879159924063117,-11.994517580731975
-13.570770138083535,-11.256511626836472,-9.69346995383714,-18.2923521924156
-14.819337547270155,-13.362468656150286,-9.552647132401862,-19.02056780221593
-18.669899303927995,-16.330488796120463,-12.896351983733815,-19.34263304874674
